# Undirected graph (each unordered pair of nodes is saved once): mygraph.txt
# Nodes: 2240 Edges: 3111
# NodeId	NodeId
0	3000
0	3001
0	3002
0	3003
0	3004
0	3005
1	3006
1	3007
1	3008
2	3009
2	3010
2	3011
2	3012
2	3013
2	3014
2	3015
2	3016
2	3017
2	3018
2	3019
2	3020
2	3021
3	3022
3	3023
3	3024
3	3025
3	3026
3	3027
3	3028
3	3029
3	3030
3	3031
3	3032
3	3033
3	3034
3	3035
3	3036
3	3037
3	3038
3	3039
3	3040
3	3041
3	3042
3	3043
3	3044
3	3045
3	3046
3	3047
3	3048
3	3049
3	3050
3	3051
3	3052
3	3053
3	3054
3	3055
3	3056
3	3057
3	3058
3	3059
3	3060
3	3061
4	3024
4	3040
4	3047
4	3062
4	3063
4	3064
4	3065
4	3066
4	3067
4	3068
4	3069
4	3070
4	3071
5	3018
5	3024
5	3047
5	3072
5	3073
5	3074
5	3075
5	3076
5	3077
5	3078
5	3079
5	3080
5	3081
5	3082
5	3083
5	3084
5	3085
5	3086
5	3087
6	3023
6	3024
6	3031
6	3047
6	3088
6	3089
6	3090
6	3091
6	3092
6	3093
6	3094
6	3095
6	3096
6	3097
6	3098
6	3099
7	3072
7	3100
7	3101
7	3102
7	3103
7	3104
7	3105
7	3106
7	3107
7	3108
7	3109
7	3110
7	3111
7	3112
7	3113
7	3114
7	3115
7	3116
7	3117
7	3118
7	3119
7	3120
7	3121
7	3122
7	3123
7	3124
7	3125
7	3126
7	3127
7	3128
7	3129
7	3130
7	3131
7	3132
7	3133
7	3134
8	3021
8	3104
8	3106
8	3109
8	3111
8	3124
8	3126
8	3135
8	3136
8	3137
8	3138
8	3139
8	3140
8	3141
8	3142
8	3143
8	3144
8	3145
8	3146
8	3147
8	3148
8	3149
8	3150
8	3151
8	3152
8	3153
8	3154
8	3155
8	3156
8	3157
8	3158
8	3159
8	3160
8	3161
8	3162
8	3163
8	3164
8	3165
8	3166
8	3167
8	3168
10	3027
10	3047
10	3169
10	3170
10	3171
10	3172
10	3173
10	3174
10	3175
10	3176
10	3177
10	3178
11	3108
11	3154
11	3179
11	3180
11	3181
11	3182
11	3183
11	3184
11	3185
11	3186
12	3024
12	3047
12	3048
12	3053
12	3056
12	3187
12	3188
12	3189
12	3190
12	3191
12	3192
12	3193
12	3194
12	3195
12	3196
12	3197
12	3198
12	3199
12	3200
12	3201
12	3202
12	3203
12	3204
12	3205
12	3206
12	3207
12	3208
12	3209
12	3210
12	3211
12	3212
